Answer ID,Speaker ID,Speaker Company,Speaker Name,Answer
6,2,"Chairman, President & CEO",Michael G. O’Grady,"Yes. So at a high level, the exposure to energy is very, very low. And a lot of our -- we've got a lot of clients that had garnered their wealth from the industry, but our lending exposure, specifically to oil and gas is very, very low."
7,0,CFO & Executive VP,Jason Jerrome Tyler,"Yes. Sure. So if we come back to that framework, that page, I'll give you a little bit more of how I think about the subcategories in there. So the outside services and some -- the headlines, some of these things are going to be mixed. Some we'll be able to moderate lower and some are -- we're going to have more activity as we've invested to make sure that we've got good operational resiliency. 
And so within outside services, for example, a lot of that is consulting and legal costs. Well, on the consulting side, there are going to be projects that we had planned to do when we went through our original planning process that don't necessarily chin the bar at this point or that we're just going to delay for a period of time or that we're going to do with a reduced scope. And so those are the types of conversations we have there. 
On legal, we actually hinted very quickly, I think, in the script that we've had some benefits, some things go our way on some legal matters. And so that's part of the benefit that we've had in there. If you think about equipment and software, it's an interesting line item because even within there, there are items that will go both ways. We've also invested more heavily in infrastructure there. But at the same time, that's where there are some capital IT projects that we might not do. 
And then there's also an overlay on both of these, where we have to think about what's related to the core business, either from an assets perspective or just client activity. Things like market data, third-party advisory fees, sub-custody, brokerage clearing. Those are the -- some of those line items that will add up to that kind of roughly 30% to 40% number that we're thinking about. 
And then in occupancy, just to refresh your memory on some of the things we've talked about, we had already been in late stages of some larger transitions and investments and we talked about the fact that in the short run, we might have some overlap in rent and investment, and we think that's going to peak around second quarter. And then we should get the benefit of that more in the second half of the year."
8,0,CFO & Executive VP,Jason Jerrome Tyler,"Well, I think that in the -- there's 2 competing factors there. One is our desire in the short run to make sure that we're maximizing loan capacity effectively for our clients. I think, but in the longer run, this base of business is based on deposits that's more core, we'll be able to invest in a better way. The counter to that is that the duration that we built in the portfolio will start to dissipate. And so the more we're reinvesting of the portfolio that we had coming into this year, the more we're going to experience the impact of lower nominal rates. 
And even so -- even if we're taking longer duration and to -- even if we're extending the portfolio from a reinvestment perspective, we'll be doing so with -- in a lower interest rate environment. And so that -- those competing factors will operate. And I think it's up to everybody to have their own determinations of what they think the interest rate environment is going to look like in the immediate -- in the intermediate term."
9,1,Senior VP & Director of Investor Relations,Mark M. Bette,"Yes. Brian, this is Mark. So yes, it's pretty similar to what we've said before. So with custody and fund administration, first, and this is in C&IS, there's about 35% to 40%, call it, 40% of fees that are not asset-value sensitive. So that's the first part. Of the fees that are asset value sensitive, so the remaining 60%, about 3/4 of those are a month lag and 1/4 of them are quarter lag, which is similar to what we've -- what we would have updated a year ago. 
I think last time, we had a change in markets when we gave that update. And then remember, as far as the asset sensitive, it's not all equity exposure because we have an allocation across multiple asset classes. When you get to the Wealth Management side, I would probably divide it between the regions and the global family office. The global family office business, you're right. There is a -- that is probably more leaned toward the quarter lag. It's similar to the asset servicing business and C&IS. And there's also about 1/4 of those fees that aren't asset-sensitive, more like what you see on the asset servicing side of C&IS. 
And the regions, and I would combine the regions together, then you're looking at about 3/4 or more of those fees being a month lag. So hopefully, that gives you an idea. Not a significant change, though, from what we've said before there."
9,7,"Keefe, Bruyette, & Woods, Inc., Research Division",Brian Matthew Kleinhanzl,Okay. That's perfect. And then just -- I just missed the comment on the GDP assumption that you had in the -- for the credit provisions. If you could just reiterate that?
9,0,CFO & Executive VP,Jason Jerrome Tyler,Sure. So the baseline that we went with for the March 31 for the reporting cycle had peak to trough down a little over 6% -- 6.1%. And then the update subsequent to that is it's down 7.5%.
10,2,"Chairman, President & CEO",Michael G. O’Grady,"Sure, Betsy, it's Mike. I'll add on to what Jason said earlier. So it's -- if you think about the flow of new business, there's business that we've won. And it's a matter of transitioning that business on. And one of the things that, again, I want to give credit to our team on, is the fact that even in the month of March, with everything that happened, we were able to transition the majority of the business that was scheduled to be transitioned. So in that sense, that's why we say, right now, that will look good. 
Having said that, there are new mandates that were to transition in April, for example, or May or June, that it's not only that we're in, I'll call it, the work-from-home mode, but that the clients are as well. And so they've said, ""Let's move our transition back further."" So they're deferred transitions. So when Jason talked about in the medium term, that would be new business that would come on, for example, in the second or the third quarter that now has been moved back. 
And then if you then also think about what's happening with the client base, certainly winning new clients is new business for us, but it's also the flow activity that they have, whether that's an institutional client and what they're doing with their funds. Are they more in a spending mode, if you will, utilizing mode, if they're a sovereign wealth fund, that's being impacted by the environment? Or if they're an asset manager, are they a part of the market that is a net gainer of flows or a net outflow? And that, of course, then will impact us as well. 
And then the last piece is just, well, what about new business activity where you're in the process of winning? Yes. There's some slowdown in, I would say, mandate-type decisions. But also with a lot of activity like this, we do see plenty of our clients that are saying, we've been talking about outsourcing for some time period, whether that's the whole middle office, or that's trading. 
You know what, now that we've gone through this time period, we can see that you're in a better position to do that for us than for us to do on our own. So let's continue that dialogue. And then we can figure out when we'll decide to do it and hopefully do it with us as well. And so that happens. That's why we say, longer term, we see a lot of opportunities. But that's not going to impact the third or fourth quarter of this year."
11,2,"Chairman, President & CEO",Michael G. O’Grady,"Well, I appreciate the historical perspective on that going back to 2001. And I would say as far as the nature of how we think about credit, it's still very similar. I mean it's aligned with our overall business and with holistic relationships. So that has not changed. And specifically to clients where we are the custodian for their pension plans, we often then are participating in their credit facilities. 
Now when you look at that portfolio of companies, it still goes through a very rigorous credit process. And so it's a very high-quality set of companies as well and high-quality set of credits. There's no way that we can necessarily predict which sectors are going to be impacted by a particular stress scenario. And so we wouldn't make the type of statement to say and we have no exposures to any sectors that are troubled right now. Certainly, we do. But all of that, we try to manage the size of the exposures for that. And that's just -- you've just identified one area, which is on the corporate side. Certainly, we work with asset managers. 
So we're providing credit to the different types of asset managers. And then on the wealth side, the nature of where wealth is developed. And so that can either be the companies that are owned by families, but also the individual credit needs. As Mark mentioned, about 20% of our portfolio overall is basically margin lending. It's collateralized by their investment portfolio. And so that would reflect the nature of that credit needs for that part of the client base."
12,0,CFO & Executive VP,Jason Jerrome Tyler,Not sure I have it as handy. Why don't we...
12,1,Senior VP & Director of Investor Relations,Mark M. Bette,"Yes, we can follow up with you, I mean..."
12,0,CFO & Executive VP,Jason Jerrome Tyler,Because it's available...
12,1,Senior VP & Director of Investor Relations,Mark M. Bette,"A lot of that would be public on the Northern Funds, Northern Institutional Funds website, but we could follow up with that, Brennan."
13,2,"Chairman, President & CEO",Michael G. O’Grady,"Sure. Mark, do you want to..."
13,1,Senior VP & Director of Investor Relations,Mark M. Bette,"Yes. Steven, I can try to take that. So it is a hard one because there is a lot that moves around within that category. I guess one way that I've kind of talked about, I think even on the last call, we kind of talked about it. Certainly, you have BOLI that has come in incrementally in each of the last 4 quarters, with this quarter being about $13 million. 
So if you took BOLI out as well as some of the things that we've had like last quarter, we had a lease loss of $20.8 million. If you adjust taking BOLI out the last 4 quarters and adjust for the things we've called out, and you kind of did the math, you're probably looking at an average run rate of, call it, $33 million, $34 million. And then in theory, you could then say, ""Okay, well, let me add the full run rate of BOLI in and add $13 million to that."" So maybe that gets you to the $45 million, $47 million range. 
I would just caution, though, it is a very -- there is volatility in that line. So it's a hard one. There's things like currency hedging that flows through that line. We've talked about some of the things that this quarter, some of the marks might flow through that line. The Visa-related income-expense type of swap marks flow through that line as well. So it certainly does move around. But if you looked at it over a longer period, you could use that potentially as kind of an average run rate."
